- 12:22:10 | 0,02 EUR
- 12:22:56 | 0.02 EUR
- 12:44:52 | 1.2 EUR
- 12:45:36 | 0.02 EUR
- 12:48:07 | null EUR
- 12:49:05 | null EUR
- 13:54:36 | 1234567 EUR
- 13:55:55 | 1234567 EUR
- 13:58:27 | 1234567 EUR
- 14:01:16 | 12345567 EUR
- 14:07:16 | 1258412 EUR
- 14:07:33 | 12541251 EUR
- 14:10:13 | 2541254 EUR
- 16:55:46 | null EUR
- 17:08:39 | null EUR
- 11:26:33 | 8528527 EUR
- 11:33:46 | 8521478 EUR
- 11:36:45 | 85274125 EUR
- 11:37:26 | 8527412 EUR
- 11:40:07 | 8527415 EUR
- 11:40:55 | 23456789 EUR
- 12:16:43 | 20200923 EUR
- 12:25:53 | 20200923 EUR
- 12:28:43 | 20200923 EUR
- 12:31:32 | 20200923 EUR
- 12:36:03 | 20200923 EUR
- 12:39:04 | 20200923 EUR
- 12:41:45 | 20200923 EUR
- 12:48:42 | 20200923 EUR
- 12:52:55 | 20200923 EUR
- 12:55:29 | 2020092 EUR
- 17:25:42 | 20200923 EUR
- 17:31:26 | 20200923 EUR
- 17:34:31 | 20200923 EUR
- 17:38:16 | 20200923 EUR
- 17:12:23 | 20200923 EUR
- 17:14:40 | 20200923 EUR
- 17:15:49 | 20200923 EUR
- 17:16:51 | 20200923 EUR
- 17:32:59 |  EUR
- 17:34:29 | 20200923 EUR
- 17:38:31 | 20200923 EUR
- 17:39:19 | 20200923 EUR
- 17:42:05 | 202020923 EUR
- 17:42:52 | 20200923 EUR
- 17:44:02 | 20200923 EUR
- 17:45:15 | 20200923 EUR
- 17:46:13 | 20200923 EUR
- 17:47:00 | 1 EUR
- 17:49:56 | 1 EUR
- 17:54:39 | 1 EUR
- 17:55:51 | 1 EUR
- 17:59:30 | 1 EUR
- 18:07:39 | 1 EUR
- 18:08:00 | 20200910 EUR
- 18:08:30 | 20201008 EUR
- 18:09:11 | 20201009 EUR
- 18:14:55 | 0.02 EUR
- 18:15:11 | 20201009 EUR
- 18:17:26 | 0.1 EUR
- 18:17:43 | 20201009 EUR
- 18:18:26 | 20201009 EUR
- 18:18:53 | 20201009 EUR
- 18:20:15 | 20200923 EUR
- 18:44:54 | 20201009 EUR
- 10:11:18 | 20201009 EUR
- 10:12:04 | 0.02 EUR
- 10:12:26 | 20201012 EUR
- 10:14:28 | 20201012 EUR
- 11:42:10 |  EUR
- 11:44:00 |  EUR
- 11:44:50 |  EUR
- 11:47:29 |  EUR
- 11:48:48 |  EUR
- 11:49:37 |  EUR
